file_name,url,category,human_summary
MINUTES%20December%202024.pdf,https://agr.georgia.gov/sites/default/files/documents/pest-control/MINUTES%20December%202024.pdf,Agenda,"Minutes for a December 12 2024 meeting of the Georgia Structural Pest Control Commission. During the meeting there were updates from the UGA Urban Entomology, Compliance and Enforcement, Certification and Training, among others."
VA S.A.V.E. Training One-Pager,https://www.mentalhealth.va.gov/suicide_prevention/docs/VA_SAVE_Training.pdf,Brochure,"Brochure highlighting four tips for helping veterans having thoughts of suicide. These include identifying the signs a veteran may be thinking about suicide, verballing asking them whether they are thinking of killing themself, validating their experiences, and encouraging them to get help by not leaving them alone, encouraging them to visit a hospital, and calling 911."
atlanta-market-map.pdf,https://agr.georgia.gov/sites/default/files/documents/agritourism/atlanta-market-map.pdf,Diagram,"Map for the Atlanta State Farmer’s Market located between Forest Parkway and Interstate 75. The east side of the map has stands for wholesale dealers, many of which are not open to the public, and the west side has stands for wholesale and retail dealers."
Microsoft Word - One-page reasonable accommodation form.docx,https://www.austintexas.gov/sites/default/files/files/HR/One-page_reasonable_accommodation_form.pdf,Form,"Form for applicants to request reasonable accommodation under the FHA. Information required includes the applicant’s name, contact information including the physical address where accommodation is needed, the accommodations requested and any relevant policies, and the applicant’s signature."
2013.07.16_PlanningCommission.pdf,http://www.slcdocs.com/attorney/COI/2013.07.16_PlanningCommission.pdf,Letter,"Letter from a city attorney at the Salt Lake City Law Department to the Salt Lake City Mayor dated July 13, 2013. Letter related to a potential conflict of interest between a member of the Salt Lake City Planning Commission and an application for the replacement of a building. The city attorney declined to prosecute the member of the commission for conflict of interest."
Font Size:  12,https://services.austintexas.gov/edims/document.cfm?id=446835,Notice,Public notice that the March 26th meeting of the Waller Creek Local Government Corporation has been cancelled due to a lack of agenda items.
08.14.15.14.pdf,https://nathandeal.georgia.gov/sites/nathandeal.georgia.gov/files/related_files/document/08.14.15.14.pdf,Policy,Executive order from the Georgia State Governor appointing a new member to the Board of Directors of the Georgia Regional Transportation Authority until June 2019. Order effective August 2015.
5.b-Vacancies-on-Boards-and-Commissions.pdf,https://storage.googleapis.com/proudcity/sanrafaelca/uploads/2021/07/5.b-Vacancies-on-Boards-and-Commissions.pdf,Report,"San Rafael City Council agenda report from July 2021 meeting. Report discusses vacancies on the San Rafael Pickleweed Advisory and Special Library Parcel Tax Oversight Committee, and how the city clerk plans to fill those vacancies. Report includes a description of the positions, information on community outreach, and next steps."
Microsoft PowerPoint - Council Workession Update on Bond Development 4-3-17 FINAL.pptx,https://services.austintexas.gov/edims/document.cfm?id=274486,Slides,"Presentation for an update on the bond program development calendar from April 2017 during a city council worksession. Slides describe the typical bond development process, previous processes, the bond election advisory task force and its timeline, and some details on how a bond program is developed and upcoming deadlines for bond development."
July-2016-WCE-Salary-Schedule.pdf,https://storage.googleapis.com/proudcity/sanrafaelca/uploads/2016/09/July-2016-WCE-Salary-Schedule.pdf,Spreadsheet,"Two tables describing the salary schedules for civil engineers, technicians, and traffic engineers. One effective July 2016 and another effective July 2017."
